Outlet_ID,Outlet_Type,Province,Distributor_ID,Latitude,Longitude,Cooler_Capacity_L,_ingestion_ts,_source_file,_checksum,total_gaussian_poi_score,total_gravity_poi_score,total_exp_poi_score,total_poi_count,poi_count_bus_stop,poi_count_school,poi_count_market,poi_count_hospital,poi_count_restaurant,poi_count_supermarket,competitor_count,competitor_density_score,market_isolation_score
OUT_00001,Grocery,Western,DIST_W_01,6.912362,80.087679,0,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,9.574717559476946,0.0035670117900645374,7.7820408080866175,13,3,0,3,1,3,3,7,0.20486670749819894,0.3009235607724883
OUT_00002,Grocery,Western,DIST_W_02,6.817425,80.066544,200,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,5.97785892086235,0.001209011171657751,2.181657355747771,9,2,1,0,0,5,0,7,0.34535453402303967,0.0921936800478581
OUT_00003,Kade,Western,DIST_W_03,7.049733,79.903085,100,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,5.529134337483814,0.001363953052111289,10.495578144080419,15,3,1,1,0,4,1,8,0.6725631879191212,0.06389827342743251
OUT_00004,Grocery,Central,DIST_C_01,7.094375,80.65193,50,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,2.7646045886636013,0.0006047514904153675,3.2808309747853786,13,3,1,0,0,3,2,1,0.21597118996651204,0.03733690354295178
OUT_00005,Kade,Central,DIST_C_02,7.105231,80.824812,0,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,9.299428824461302,0.0029798450791731173,8.01636907450667,6,1,3,0,0,4,1,3,0.120969819074693,0.15559719433777164
OUT_00006,Convenience,Central,DIST_C_03,7.173395,80.609683,150,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,5.733412461928444,0.0034718831145538307,2.4625823402947558,9,1,1,0,1,2,0,3,0.061910912500226,0.19688751338235413
OUT_00007,Grocery,North-Western,DIST_NW_01,7.721846,79.939069,100,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,2.262156003481798,0.0006523988127707064,1.9576546317243775,9,1,0,1,0,1,0,2,1.0591616178570882,0.20159352280402296
OUT_00008,Kade,North-Western,DIST_NW_02,7.613755,80.263728,100,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,4.939628946862427,0.0006660733098671138,0.9643338742604635,9,2,0,1,0,3,1,5,0.29018876837939483,0.4247626822087775
OUT_00009,Convenience,Southern,DIST_S_01,6.173355,80.347884,150,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,3.9979205281292938,0.001992539673822851,0.9499166913542259,3,2,1,1,0,2,0,2,0.49069246601026356,0.2073449463506079
OUT_00010,Grocery,Southern,DIST_S_02,6.19895,80.937499,50,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,0.4318298869811708,0.0037634955018956673,4.828736393779142,8,4,1,0,2,4,0,6,0.3370747534159943,0.033132430140270806
OUT_00011,Grocery,Western,DIST_W_01,6.916603,79.917837,100,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,2.684969130750825,0.008760202920606117,14.982188119212378,14,4,0,0,0,5,1,5,1.5451205723508832,0.18598382754080975
OUT_00012,Pharmacy,Western,DIST_W_02,6.842277,80.050549,0,2026-06-01T13:00:38.528115,outlet_master.csv,bc14b1bac19945f8f56165de01c88513,8.424662549392654,0.0012441177945107615,4.606281482504581,12,4,0,3,0,0,2,6,0.5937895126943821,0.03768662687677207
