Outlet_ID,hist_mean_monthly,hist_median_monthly,hist_max_monthly,hist_std_monthly,hist_cv,hist_p90_monthly,hist_p75_monthly,hist_months_active,censoring_indicator,sales_trend_slope,holiday_uplift_ratio,avg_jan_sales,jan_ratio,Distributor_ID,dist_jan_seasonality,total_gaussian_poi_score,total_gravity_poi_score,total_exp_poi_score,total_poi_count,poi_count_bus_stop,poi_count_school,poi_count_market,poi_count_hospital,poi_count_restaurant,poi_count_supermarket,competitor_count,competitor_density_score,market_isolation_score,Province,Outlet_Type,Outlet_Type_Convenience,Outlet_Type_Eatery,Outlet_Type_Grocery,Outlet_Type_Kade,Outlet_Type_Pharmacy,Outlet_Type_Supermarket,Province_Central,Province_North-Western,Province_Southern,Province_Western
OUT_00001,597.055,564.875,1064.24,168.9303512782079,0.28293934608739213,866.9890000000001,694.8924999999999,48,0,-0.39673903603996213,1.0070799370158503,55.307758620689654,0.5,DIST_W_01,1.1554,9.574717559476946,0.0035670117900645,7.7820408080866175,13.0,3.0,0.0,3.0,1.0,3.0,3.0,7.0,0.2048667074981989,0.3009235607724883,Western,Grocery,False,False,True,False,False,False,False,False,False,True
OUT_00002,451.41125000000005,452.59000000000003,656.93,104.80671635992101,0.23217568538648736,590.8080000000001,532.1125,48,0,-0.49829461571863654,1.1256682237987108,43.1462,0.5,DIST_W_02,1.3353,5.97785892086235,0.0012090111716577,2.181657355747771,9.0,2.0,1.0,0.0,0.0,5.0,0.0,7.0,0.3453545340230396,0.0921936800478581,Western,Grocery,False,False,True,False,False,False,False,False,False,True
OUT_00003,434.4647916666667,399.435,843.03,120.78144251198037,0.2780005303735802,584.5830000000001,509.5325,48,0,-2.326109965262714,1.0048095519303166,38.034285714285716,0.5,DIST_W_03,1.2764,5.529134337483814,0.0013639530521112,10.49557814408042,15.0,3.0,1.0,1.0,0.0,4.0,1.0,8.0,0.6725631879191212,0.0638982734274325,Western,Kade,False,False,False,True,False,False,False,False,False,True
OUT_00004,229.85333333333332,225.185,353.06,59.67544932786238,0.25962403269271295,324.004,256.2625,48,0,-1.0593953538862404,0.9064338673580994,21.414285714285715,0.5,DIST_C_01,1.309,2.7646045886636013,0.0006047514904153,3.2808309747853786,13.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,0.215971189966512,0.0373369035429517,Central,Grocery,False,False,True,False,False,False,True,False,False,False
OUT_00005,154.30145833333333,150.57,262.14,49.34787373847901,0.3198146943749171,224.42900000000006,185.915,48,0,0.10597861485019217,1.0324726282924825,14.459193548387097,0.5,DIST_C_02,1.3043,9.299428824461302,0.0029798450791731,8.01636907450667,6.0,1.0,3.0,0.0,0.0,4.0,1.0,3.0,0.120969819074693,0.1555971943377716,Central,Kade,False,False,False,True,False,False,True,False,False,False
OUT_00006,135.168125,124.07499999999999,251.89,43.89700109255999,0.32475852640968417,198.661,162.035,48,0,0.6809297655232278,0.9088122945031838,11.885531914893617,0.5,DIST_C_03,1.2356,5.733412461928444,0.0034718831145538,2.462582340294756,9.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.061910912500226,0.1968875133823541,Central,Convenience,True,False,False,False,False,False,True,False,False,False
OUT_00007,453.2089583333333,414.57500000000005,767.7,147.13970121405004,0.32466194347780164,687.989,555.325,48,0,1.4501047546678174,1.1446672161611218,44.35561403508772,0.5,DIST_NW_01,1.335,2.262156003481798,0.0006523988127707,1.9576546317243773,9.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0591616178570882,0.2015935228040229,North-Western,Grocery,False,False,True,False,False,False,False,True,False,False
OUT_00008,63.80458333333333,55.305,141.32,23.76460732948943,0.3724592511690946,95.72000000000001,73.395,48,0,0.19284085974815343,0.8225374048240243,4.833333333333333,0.5,DIST_NW_02,1.2842,4.939628946862427,0.0006660733098671,0.9643338742604636,9.0,2.0,0.0,1.0,0.0,3.0,1.0,5.0,0.2901887683793948,0.4247626822087775,North-Western,Kade,False,False,False,True,False,False,False,True,False,False
OUT_00009,129.50416666666666,129.505,220.58,43.3934588576574,0.3350738433717633,189.052,160.505,48,0,-0.04989036039948145,1.0338844595477716,13.221063829787234,0.5,DIST_S_01,1.3184,3.9979205281292938,0.0019925396738228,0.949916691354226,3.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.4906924660102635,0.2073449463506079,Southern,Convenience,True,False,False,False,False,False,False,False,True,False
OUT_00010,197.316875,182.78,337.0,55.422437393372924,0.2808803727170974,277.54800000000006,225.785,48,0,-0.5524951150673068,0.960975862877398,17.423793103448276,0.5,DIST_S_02,1.3121,0.4318298869811708,0.0037634955018956,4.828736393779142,8.0,4.0,1.0,0.0,2.0,4.0,0.0,6.0,0.3370747534159943,0.0331324301402708,Southern,Grocery,False,False,True,False,False,False,False,False,True,False
OUT_00011,773.1616666666667,770.565,1087.75,160.542959258187,0.20764474776709527,980.3320000000001,887.2325000000001,48,0,-0.8533597481545981,1.0649444975590228,66.01415094339623,0.5,DIST_W_01,1.1554,2.684969130750825,0.0087602029206061,14.982188119212378,14.0,4.0,0.0,0.0,0.0,5.0,1.0,5.0,1.5451205723508832,0.1859838275408097,Western,Grocery,False,False,True,False,False,False,False,False,False,True
OUT_00012,108.07625,104.58000000000001,160.79000000000002,25.978112196575648,0.24036837137276365,146.031,127.98250000000002,48,0,0.03619192357793987,1.012608676760455,8.144400000000001,0.5,DIST_W_02,1.3353,8.424662549392654,0.0012441177945107,4.606281482504581,12.0,4.0,0.0,3.0,0.0,0.0,2.0,6.0,0.5937895126943821,0.037686626876772,Western,Pharmacy,False,False,False,False,True,False,False,False,False,True
OUT_00013,191.47687499999998,185.68,330.16,62.92489830104462,0.32862923160326607,277.724,231.4375,48,0,0.1498257707338234,1.0818630905398707,20.045,0.5,DIST_W_03,1.2764,17.460707469934114,0.0015920140214855,4.374242939554392,11.0,2.0,0.0,1.0,0.0,5.0,0.0,9.0,0.4915727433436953,0.4129601366253074,Western,Pharmacy,False,False,False,False,True,False,False,False,False,True
OUT_00014,195.06875,195.28,413.79,70.84078665375904,0.3631580489122888,281.325,240.155,48,0,0.6193779852366442,1.0619974913868646,18.444181818181818,0.5,DIST_C_01,1.309,2.783704369918292,0.0015034772803089,2.6381238767221773,4.0,2.0,0.0,1.0,0.0,3.0,2.0,6.0,1.2924805698104898,0.6754313090337782,Central,Kade,False,False,False,True,False,False,True,False,False,False
OUT_00015,276.4008333333333,259.41499999999996,487.65,86.231727064244,0.31198070578987885,392.29000000000025,330.7225,48,0,-1.0421591402518524,1.0285959548044825,27.48728813559322,0.5,DIST_C_02,1.3043,2.1160548781086077,0.0015664912739632,5.492445342472774,16.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.6359288521438932,0.2935369658814276,Central,Supermarket,False,False,False,False,False,True,True,False,False,False
OUT_00016,46.89041666666666,47.42,79.4,13.093435411935431,0.2792347849031433,62.211,54.9625,48,0,0.09338797221015917,0.9044594367743604,3.7501960784313724,0.5,DIST_C_03,1.2356,3.6280150829443314,0.0009857886166746,1.099860984985576,11.0,2.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0591384016523908,0.393245576265178,Central,Pharmacy,False,False,False,False,True,False,True,False,False,False
OUT_00017,163.03375,159.185,324.0,47.65342851745387,0.2922918016512156,220.4190000000001,182.105,48,0,-0.49673903603995134,1.1928845883809693,14.787636363636365,0.5,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False
